#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 20 05 00  90  2.1  2.6    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 20 04 00  80  1.5  1.5    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 20 03 00  80  2.1  2.1    MM    MM    MM  MM     MM  14.8    MM    MM   MM   MM    MM
2024 10 20 02 00 160  2.6  2.6    MM    MM    MM  MM     MM  14.5    MM    MM   MM   MM    MM
2024 10 20 01 00 180  2.1  2.6    MM    MM    MM  MM     MM  14.5    MM    MM   MM   MM    MM
2024 10 20 00 00 180  2.1  2.6    MM    MM    MM  MM     MM  15.1    MM    MM   MM   MM    MM
2024 10 19 23 00 190  3.6  4.1    MM    MM    MM  MM     MM  15.7    MM    MM   MM   MM    MM
2024 10 19 22 00 200  3.1  4.1    MM    MM    MM  MM     MM  16.1    MM    MM   MM   MM    MM
2024 10 19 21 00 210  3.1  3.6    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 19 20 00 190  4.1  5.1    MM    MM    MM  MM     MM  16.2    MM    MM   MM   MM    MM
2024 10 19 19 00 190  4.6  5.7    MM    MM    MM  MM     MM  16.3    MM    MM   MM   MM    MM
2024 10 19 18 00 180  4.1  4.6    MM    MM    MM  MM     MM  15.6    MM    MM   MM   MM    MM
2024 10 19 17 00 110  1.5  2.1    MM    MM    MM  MM     MM  14.7    MM    MM   MM   MM    MM
2024 10 19 16 00  80  2.1  2.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 19 15 00 100  2.1  2.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 19 14 00 100  2.1  2.6    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 19 13 00  80  2.1  2.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 19 12 00  80  2.1  2.6    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 19 11 00  90  1.5  2.1    MM    MM    MM  MM     MM  12.8    MM    MM   MM   MM    MM
2024 10 19 10 00  90  1.5  1.5    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 19 09 00 100  1.5  2.1    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 19 08 00 150  1.5  2.6    MM    MM    MM  MM     MM  14.5    MM    MM   MM   MM    MM
2024 10 19 07 00 150  2.6  3.6    MM    MM    MM  MM     MM  14.5    MM    MM   MM   MM    MM
2024 10 19 06 00 120  2.1  3.1    MM    MM    MM  MM     MM  13.6    MM    MM   MM   MM    MM
2024 10 19 05 00 130  2.6  4.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 19 04 00 140  3.6  4.1    MM    MM    MM  MM     MM  14.0    MM    MM   MM   MM    MM
2024 10 19 03 00 150  2.6  4.1    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 19 02 00 160  2.1  2.6    MM    MM    MM  MM     MM  13.5    MM    MM   MM   MM    MM
2024 10 19 01 00 180  2.6  3.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 19 00 00 130  1.0  1.5    MM    MM    MM  MM     MM  13.6    MM    MM   MM   MM    MM
2024 10 18 23 00 200  4.1  4.6    MM    MM    MM  MM     MM  13.8    MM    MM   MM   MM    MM
2024 10 18 22 00 130  1.5  2.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 18 21 00 110  3.6  4.6    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 18 20 00 100  2.6  3.1    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 18 19 00 100  2.6  3.6    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 18 18 00  90  2.1  3.1    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 18 17 00  90  3.1  4.1    MM    MM    MM  MM     MM   8.9    MM    MM   MM   MM    MM
2024 10 18 16 00  90  3.6  4.1    MM    MM    MM  MM     MM   7.9    MM    MM   MM   MM    MM
2024 10 18 15 00  90  3.6  4.6    MM    MM    MM  MM     MM   7.4    MM    MM   MM   MM    MM
2024 10 18 14 00  90  3.6  4.6    MM    MM    MM  MM     MM   7.2    MM    MM   MM   MM    MM
2024 10 18 13 00  90  3.1  4.1    MM    MM    MM  MM     MM   7.2    MM    MM   MM   MM    MM
2024 10 18 12 00 100  3.1  4.1    MM    MM    MM  MM     MM   7.6    MM    MM   MM   MM    MM
2024 10 18 11 00  70  2.1  2.6    MM    MM    MM  MM     MM   7.7    MM    MM   MM   MM    MM
2024 10 18 10 00  70  2.1  3.1    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2024 10 18 09 00  90  2.6  3.1    MM    MM    MM  MM     MM   8.2    MM    MM   MM   MM    MM
2024 10 18 08 00  90  2.6  3.6    MM    MM    MM  MM     MM   8.5    MM    MM   MM   MM    MM
2024 10 18 07 00  90  2.1  2.6    MM    MM    MM  MM     MM   8.6    MM    MM   MM   MM    MM
2024 10 18 06 00  70  2.1  2.6    MM    MM    MM  MM     MM   9.1    MM    MM   MM   MM    MM
2024 10 18 05 00  70  2.1  2.6    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2024 10 18 04 00  90  2.1  2.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 18 03 00 140  1.0  1.0    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 18 02 00 190  2.1  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 18 01 00 200  3.1  3.1    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 18 00 00 200  3.1  3.6    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 17 23 00 200  3.1  3.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 17 22 00 210  3.1  4.1    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 17 21 00 200  3.6  4.1    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 17 20 00 220  3.1  3.6    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 17 19 00 200  5.1  6.2    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 17 18 00 190  4.1  5.1    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 17 17 00  90  1.5  2.1    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 17 16 00  60  1.0  1.0    MM    MM    MM  MM     MM   9.2    MM    MM   MM   MM    MM
2024 10 17 15 00 100  1.5  1.5    MM    MM    MM  MM     MM   7.9    MM    MM   MM   MM    MM
2024 10 17 14 00  80  1.5  1.5    MM    MM    MM  MM     MM   8.8    MM    MM   MM   MM    MM
2024 10 17 13 00  90  2.1  2.1    MM    MM    MM  MM     MM   9.2    MM    MM   MM   MM    MM
2024 10 17 12 00 250  3.1  3.6    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 17 11 00 340  5.7  7.2    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2024 10 17 10 00  10  1.5  2.1    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 17 09 00 190  4.6  6.7    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 17 08 00 180  5.7  7.2    MM    MM    MM  MM     MM  10.9    MM    MM   MM   MM    MM
2024 10 17 07 00 150  2.1  2.6    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2024 10 17 06 00 180  4.1  5.7    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
2024 10 17 05 00 170  2.6  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 17 04 00 100  1.0  1.0    MM    MM    MM  MM     MM  10.9    MM    MM   MM   MM    MM
2024 10 17 03 00 120  1.0  1.5    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 17 02 00 230  1.5  1.5    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 17 01 00 290  3.1  3.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 17 00 00 240  1.5  2.6    MM    MM    MM  MM     MM  12.8    MM    MM   MM   MM    MM
2024 10 16 23 00 190  3.6  4.1    MM    MM    MM  MM     MM  12.8    MM    MM   MM   MM    MM
2024 10 16 22 00 190  4.1  4.6    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 16 21 00 200  4.1  5.1    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 16 20 00 200  3.1  3.6    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 16 19 00 200  3.6  4.1    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 16 18 00 200  2.6  3.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 16 17 00  MM  0.0  0.5    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 16 16 00 170  1.5  1.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 16 15 00  MM  0.0  0.5    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 16 14 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 16 13 00 320  2.1  3.1    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 16 12 00  80  1.5  1.5    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 16 11 00 100  2.1  2.6    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 16 10 00  90  1.5  1.5    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 16 09 00 190  2.1  2.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 16 08 00  40  1.0  1.0    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 16 07 00  MM  0.0  0.0    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 16 06 00 150  3.1  3.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 16 05 00 180  3.1  3.1    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 16 04 00 180  2.1  2.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 16 03 00 160  2.1  2.6    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 16 02 00 180  2.6  3.6    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 16 01 00 190  3.1  3.6    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 16 00 00 190  3.1  3.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 15 23 00 190  2.1  2.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 15 22 00 190  3.1  3.6    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 15 21 00 180  3.6  4.1    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 20 00 200  4.6  5.7    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 15 19 00 190  5.1  5.7    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 15 18 00 180  3.6  4.1    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 15 17 00 210  3.1  4.1    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 15 16 00  MM  0.0  1.0    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 15 15 00  MM  0.0  0.5    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 15 14 00 190  3.1  3.6    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 13 00 220  3.6  4.1    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 15 12 00  MM  0.0  0.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 11 00 180  1.0  1.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 10 00 180  2.1  2.1    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 09 00 180  2.1  2.6    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 15 08 00 190  2.6  3.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 15 07 00 190  1.5  2.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 15 06 00 170  1.0  1.0    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 15 05 00 200  3.6  3.6    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 15 04 00 190  3.1  3.6    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 15 03 00 200  3.1  3.1    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 15 02 00 200  4.1  4.6    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 15 01 00 190  5.1  5.7    MM    MM    MM  MM     MM  13.7    MM    MM   MM   MM    MM
2024 10 15 00 00 190  4.1  5.1    MM    MM    MM  MM     MM  14.1    MM    MM   MM   MM    MM
2024 10 14 23 00 190  5.7  6.7    MM    MM    MM  MM     MM  13.5    MM    MM   MM   MM    MM
2024 10 14 22 00 210  3.6  4.1    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 14 21 00 190  5.7  6.2    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 14 20 00 190  4.6  6.2    MM    MM    MM  MM     MM  15.0    MM    MM   MM   MM    MM
2024 10 14 19 00 180  4.6  5.7    MM    MM    MM  MM     MM  14.1    MM    MM   MM   MM    MM
2024 10 14 18 00 210  1.5  2.1    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 14 17 00  90  1.5  2.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 14 16 00 110  1.5  1.5    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 14 15 00 210  3.1  3.1    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 14 14 00 150  1.0  1.5    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 14 13 00 190  3.6  4.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 14 12 00 180  2.1  2.6    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 14 11 00 130  1.0  1.0    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 14 10 00 190  1.5  2.1    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 14 09 00 200  2.1  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 14 08 00 190  2.6  3.1    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 14 07 00 190  3.1  3.6    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 14 06 00 190  4.6  5.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 14 05 00 190  3.6  4.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 14 04 00 180  1.5  2.1    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 14 03 00 190  1.5  1.5    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 14 02 00 170  1.0  1.0    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 14 01 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 14 00 00 270  1.0  1.5    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 13 23 00 310  1.0  1.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 13 22 00 280  2.1  2.6    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 13 21 00 320  2.6  3.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 13 20 00 340  3.1  3.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 13 19 00 320  2.1  2.6    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 13 18 00 300  2.1  2.6    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 13 17 00  30  1.0  1.5    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 13 16 00  60  2.1  2.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 13 15 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 13 14 00  70  0.5  1.0    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
