#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 23 22 00 220  2.1  2.6    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 23 21 00 260  2.1  2.6    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 23 20 00 230  2.1  2.6    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 23 19 00 270  1.5  1.5    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 23 18 00  50  2.6  3.1    MM    MM    MM  MM     MM   8.3    MM    MM   MM   MM    MM
2024 10 23 17 00  70  2.1  2.6    MM    MM    MM  MM     MM   6.8    MM    MM   MM   MM    MM
2024 10 23 16 00  70  2.1  2.6    MM    MM    MM  MM     MM   6.0    MM    MM   MM   MM    MM
2024 10 23 15 00  70  3.1  3.1    MM    MM    MM  MM     MM   5.8    MM    MM   MM   MM    MM
2024 10 23 14 00  70  2.6  3.1    MM    MM    MM  MM     MM   5.7    MM    MM   MM   MM    MM
2024 10 23 13 00  70  2.1  2.6    MM    MM    MM  MM     MM   5.8    MM    MM   MM   MM    MM
2024 10 23 12 00  70  2.6  3.1    MM    MM    MM  MM     MM   6.2    MM    MM   MM   MM    MM
2024 10 23 11 00  70  2.1  2.1    MM    MM    MM  MM     MM   6.2    MM    MM   MM   MM    MM
2024 10 23 10 00  80  1.5  2.1    MM    MM    MM  MM     MM   6.5    MM    MM   MM   MM    MM
2024 10 23 09 00  80  2.1  2.6    MM    MM    MM  MM     MM   6.9    MM    MM   MM   MM    MM
2024 10 23 08 00  90  2.1  2.6    MM    MM    MM  MM     MM   7.4    MM    MM   MM   MM    MM
2024 10 23 07 00  60  1.5  2.1    MM    MM    MM  MM     MM   8.1    MM    MM   MM   MM    MM
2024 10 23 06 00  50  2.6  2.6    MM    MM    MM  MM     MM   8.5    MM    MM   MM   MM    MM
2024 10 23 05 00  80  2.1  2.6    MM    MM    MM  MM     MM   8.4    MM    MM   MM   MM    MM
2024 10 23 04 00  80  1.5  1.5    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2024 10 23 03 00  70  1.5  1.5    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 23 02 00  20  2.6  3.1    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 23 01 00 360  7.7  8.2    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 23 00 00 350  8.8  9.8    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 22 23 00 350  8.2  9.8    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 22 22 00 350  7.7  8.8    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 22 21 00 350  5.7  6.2    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 22 20 00 340  3.1  3.6    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 22 19 00 330  2.1  2.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 22 18 00  60  3.1  4.6    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 22 17 00  70  4.1  4.6    MM    MM    MM  MM     MM   9.2    MM    MM   MM   MM    MM
2024 10 22 16 00  80  2.6  3.1    MM    MM    MM  MM     MM   8.1    MM    MM   MM   MM    MM
2024 10 22 15 00  70  4.1  4.6    MM    MM    MM  MM     MM   7.5    MM    MM   MM   MM    MM
2024 10 22 14 00  80  3.6  4.6    MM    MM    MM  MM     MM   7.5    MM    MM   MM   MM    MM
2024 10 22 13 00  80  4.1  4.6    MM    MM    MM  MM     MM   7.5    MM    MM   MM   MM    MM
2024 10 22 12 00  90  3.1  4.6    MM    MM    MM  MM     MM   7.4    MM    MM   MM   MM    MM
2024 10 22 11 00  80  3.1  3.6    MM    MM    MM  MM     MM   7.6    MM    MM   MM   MM    MM
2024 10 22 10 00  80  2.6  3.1    MM    MM    MM  MM     MM   7.5    MM    MM   MM   MM    MM
2024 10 22 09 00  90  3.1  4.6    MM    MM    MM  MM     MM   7.5    MM    MM   MM   MM    MM
2024 10 22 08 00 100  2.1  2.6    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2024 10 22 07 00  80  2.6  2.6    MM    MM    MM  MM     MM   8.5    MM    MM   MM   MM    MM
2024 10 22 06 00  90  2.1  2.1    MM    MM    MM  MM     MM   9.0    MM    MM   MM   MM    MM
2024 10 22 05 00  80  1.5  1.5    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2024 10 22 04 00 110  2.1  2.1    MM    MM    MM  MM     MM  10.6    MM    MM   MM   MM    MM
2024 10 22 03 00 320  1.0  1.5    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 22 02 00 240  2.1  2.6    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 22 01 00 220  3.1  3.6    MM    MM    MM  MM     MM  13.0    MM    MM   MM   MM    MM
2024 10 22 00 00 250  2.1  2.6    MM    MM    MM  MM     MM  13.8    MM    MM   MM   MM    MM
2024 10 21 23 00 280  4.6  5.1    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 21 22 00 250  4.1  4.6    MM    MM    MM  MM     MM  13.7    MM    MM   MM   MM    MM
2024 10 21 21 00 260  5.1  5.7    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 21 20 00 240  4.1  5.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 21 19 00 240  4.1  5.1    MM    MM    MM  MM     MM  13.5    MM    MM   MM   MM    MM
2024 10 21 18 00 200  6.7  8.2    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 21 17 00 190  6.7  8.2    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 21 16 00 200  7.7  9.3    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 21 15 00 190  7.2  8.8    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 21 14 00 200  7.2  8.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 21 13 00 190  3.6  4.1    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 21 12 00 150  2.6  3.1    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 21 11 00  MM  0.0  1.0    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 21 10 00 160  2.6  3.1    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 21 09 00 140  1.0  1.5    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 21 08 00  MM  0.0  0.5    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 21 07 00 110  1.5  2.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 21 06 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 21 05 00 170  1.0  1.5    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 21 04 00 160  1.0  1.0    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 21 03 00 320  2.1  2.6    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 21 02 00 340  3.1  3.6    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 21 01 00 220  4.1  4.6    MM    MM    MM  MM     MM  13.0    MM    MM   MM   MM    MM
2024 10 21 00 00 210  4.1  5.1    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 20 23 00 200  6.2  6.7    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 20 22 00 200  9.3 10.8    MM    MM    MM  MM     MM  14.1    MM    MM   MM   MM    MM
2024 10 20 21 00 190  9.3 11.3    MM    MM    MM  MM     MM  14.6    MM    MM   MM   MM    MM
2024 10 20 20 00 190 10.8 12.9    MM    MM    MM  MM     MM  16.1    MM    MM   MM   MM    MM
2024 10 20 19 00 190  8.8 10.3    MM    MM    MM  MM     MM  15.6    MM    MM   MM   MM    MM
2024 10 20 18 00 180  5.7  7.7    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 20 17 00 170  3.6  4.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 20 16 00 210  2.1  3.1    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 20 15 00  80  2.6  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 20 14 00  80  1.5  2.6    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 20 13 00  70  2.6  3.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 20 12 00  70  2.6  2.6    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 20 11 00  90  3.1  3.6    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 20 10 00  90  2.6  3.1    MM    MM    MM  MM     MM  13.5    MM    MM   MM   MM    MM
2024 10 20 09 00  70  2.6  2.6    MM    MM    MM  MM     MM  13.8    MM    MM   MM   MM    MM
2024 10 20 08 00  70  2.1  2.6    MM    MM    MM  MM     MM  14.3    MM    MM   MM   MM    MM
2024 10 20 07 00  70  2.1  2.6    MM    MM    MM  MM     MM  14.3    MM    MM   MM   MM    MM
2024 10 20 06 00  90  2.6  3.1    MM    MM    MM  MM     MM  14.5    MM    MM   MM   MM    MM
