#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 03 08 00 119  3.7  4.7 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 03 09 00 149  5.0  6.3 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2024 01 03 10 00 150  4.4  5.8 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 03 11 00 143  2.6  3.3 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2024 01 03 12 00 150  2.6  4.1 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 03 13 00 165  3.2  4.1 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 03 14 00 175  4.6  6.0 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 03 15 00 274  9.0 10.7 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2024 01 03 16 00 278  9.9 11.5 99.00 99.00 99.00 999 9999.0  10.3 999.0 999.0 99.0 99.00
2024 01 03 17 00 272  7.3  9.0 99.00 99.00 99.00 999 9999.0  10.2 999.0 999.0 99.0 99.00
2024 01 03 18 00 255  7.4  9.1 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2024 01 03 19 00 249  4.9  6.6 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2024 01 03 20 00 241  5.9  7.9 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2024 01 03 21 00 224  7.1  7.7 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2024 01 03 22 00 241  4.8  6.1 99.00 99.00 99.00 999 9999.0  10.0 999.0 999.0 99.0 99.00
2024 01 03 23 00 232  4.1  4.8 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2024 01 04 00 00 232  5.2  6.7 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 04 01 00 248  6.1  7.2 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2024 01 04 02 00 226  6.4  6.8 99.00 99.00 99.00 999 9999.0  10.2 999.0 999.0 99.0 99.00
2024 01 04 03 00 217  6.0  6.8 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 04 04 00 170  3.0  3.6 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2024 01 04 05 00 187  2.6  4.2 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 04 06 00 162  3.7  4.6 99.00 99.00 99.00 999 9999.0   8.6 999.0 999.0 99.0 99.00
2024 01 04 07 00 166  3.6  4.4 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 04 08 00 156  4.3  6.9 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 04 09 00 166  6.3  8.9 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 04 10 00 170  6.3  7.5 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 04 11 00 164  5.4  7.1 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 04 12 00 163  5.9  7.6 99.00 99.00 99.00 999 9999.0   8.6 999.0 999.0 99.0 99.00
2024 01 04 13 00 169  6.0  8.1 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 04 14 00 183  9.6 11.3 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
